DISTNAME,2010,2011,2012,2013,2014,2015,2016,2017
Barking and Dagenham,"2,673,353,726","2,437,759,982","2,492,111,856","2,446,919,684","2,382,729,474","2,354,255,964","2,325,820,862","2,385,454,691"
Barnet,"6,131,713,644","5,515,239,897","5,759,041,300","5,721,221,872","5,818,686,075","5,475,904,215","5,556,384,512","5,623,782,527"
Bexley,"4,091,762,003","3,698,502,954","3,855,026,417","3,891,483,394","3,770,829,598","3,667,668,548","3,708,710,315","3,794,119,319"
Brent,"4,504,820,664","4,018,927,463","4,453,098,479","4,466,516,347","4,524,565,345","4,025,080,432","4,134,471,788","4,290,438,049"
Bromley,"5,105,856,913","4,556,545,146","4,814,470,472","4,810,381,242","4,488,491,950","4,555,458,268","4,580,960,696","4,622,672,331"
Camden,"5,321,500,045","4,862,011,337","5,109,850,237","5,163,008,403","4,876,772,767","4,699,319,625","4,851,218,059","4,833,552,298"
City of London,"3,894,278,360","3,400,860,187","3,537,211,475","3,528,498,033","3,072,323,204","3,379,365,363","3,266,661,216","3,214,149,317"
Croydon,"5,349,677,511","4,776,266,838","5,025,278,686","4,985,820,580","4,596,512,038","4,729,184,442","4,771,056,308","4,870,189,391"
Ealing,"5,621,455,455","5,137,933,239","5,391,539,214","5,392,733,363","5,250,875,174","5,013,855,461","5,038,753,453","5,170,254,882"
Enfield,"5,280,678,687","4,787,366,952","4,939,421,242","4,941,217,068","4,932,997,554","4,663,521,614","4,727,684,666","4,758,728,004"
Greenwich,"4,344,341,868","3,816,960,813","3,766,025,507","3,434,843,707","3,889,686,256","3,395,917,955","3,481,197,420","3,510,858,344"
Hackney,"2,876,450,743","2,630,478,366","2,860,443,511","2,863,312,385","2,928,736,360","2,718,874,914","2,753,924,892","2,827,518,176"
Hammersmith and Fulham,"3,432,918,869","3,074,754,746","3,195,236,201","3,155,950,349","3,007,437,990","2,951,612,766","2,968,153,091","3,022,047,012"
Haringey,"3,364,096,690","2,987,890,376","3,125,790,202","3,112,691,118","3,041,453,477","2,911,114,339","3,003,472,939","3,038,318,626"
Harrow,"3,522,343,584","3,068,828,793","3,273,892,038","3,209,950,539","3,186,570,076","2,924,389,931","2,898,235,296","2,927,156,819"
Havering,"4,321,011,283","3,869,410,980","4,054,594,318","3,979,897,128","3,993,775,065","3,874,178,268","3,940,699,406","3,971,372,749"
Hillingdon,"9,609,538,703","8,778,720,919","9,063,713,724","9,527,649,058","9,201,132,451","8,523,793,001","8,566,920,718","8,937,547,456"
Hounslow,"5,203,041,523","4,820,324,723","4,997,482,923","4,954,845,636","4,824,253,819","4,768,471,038","4,825,783,439","4,807,619,639"
Islington,"3,574,784,841","3,142,657,196","3,376,422,894","3,321,017,109","3,216,172,944","3,096,685,063","3,169,028,210","3,195,295,466"
Kensington and Chelsea,"4,300,291,186","3,938,724,345","4,161,725,385","3,903,185,741","4,073,857,580","3,750,093,472","3,726,000,395","3,620,869,264"
Kingston,"2,684,281,683","2,416,359,434","2,531,134,763","2,550,611,003","2,407,830,278","2,409,705,215","2,438,676,536","2,483,289,519"
Lambeth,"4,459,727,697","4,043,517,784","4,214,453,799","4,301,496,663","3,935,536,483","4,015,468,837","4,039,036,275","4,002,460,511"
Lewisham,"3,423,554,160","3,095,957,934","3,202,736,117","3,144,085,743","2,948,479,571","3,078,685,409","3,078,605,673","3,112,309,195"
Merton,"3,102,892,184","2,773,208,373","2,886,057,505","2,921,719,973","2,625,797,775","2,749,200,574","2,781,333,303","2,805,734,407"
Newham,"5,202,854,847","4,830,965,475","4,754,103,549","4,769,305,846","4,639,582,343","4,515,791,970","4,612,885,838","4,591,637,158"
Redbridge,"3,825,268,763","3,432,917,915","3,607,234,582","3,536,865,762","3,590,834,483","3,394,941,613","3,460,391,035","3,514,995,262"
Richmond,"3,465,660,795","3,081,049,399","3,258,430,157","3,303,722,888","3,125,515,598","3,038,682,633","3,076,108,917","3,100,392,261"
Southwark,"4,798,023,172","4,248,418,439","4,564,047,687","4,567,821,164","3,970,981,146","4,403,041,911","4,456,718,813","4,493,788,989"
Sutton,"2,791,968,886","2,470,995,782","2,628,502,088","2,598,100,327","2,398,265,375","2,476,365,167","2,487,839,240","2,550,643,142"
Tower Hamlets,"5,542,763,604","4,903,194,728","5,378,391,096","5,144,705,887","5,106,173,524","4,900,105,844","4,961,724,523","4,949,412,164"
Waltham Forest,"3,383,505,383","3,009,518,869","3,172,848,447","3,081,433,727","3,151,794,858","2,947,463,484","3,007,295,487","3,016,767,534"
Wandsworth,"4,425,063,605","3,916,710,109","4,106,969,306","4,122,397,028","3,865,238,032","3,857,882,966","4,009,990,393","4,015,390,359"
Westminster,"9,503,849,586","8,582,541,858","9,042,838,253","9,246,610,686","8,493,772,263","8,359,389,514","8,412,728,076","8,519,841,179"
